ActivityHour,ActivityDay,Id,StepTotal
00:00,2016-04-12,1503960366,373
01:00,2016-04-12,1503960366,160
02:00,2016-04-12,1503960366,151
03:00,2016-04-12,1503960366,0
04:00,2016-04-12,1503960366,0
05:00,2016-04-12,1503960366,0
06:00,2016-04-12,1503960366,0
07:00,2016-04-12,1503960366,0
08:00,2016-04-12,1503960366,250
09:00,2016-04-12,1503960366,1864
10:00,2016-04-12,1503960366,676
11:00,2016-04-12,1503960366,360
12:00,2016-04-12,1503960366,253
13:00,2016-04-12,1503960366,221
14:00,2016-04-12,1503960366,1166
15:00,2016-04-12,1503960366,2063
16:00,2016-04-12,1503960366,344
17:00,2016-04-12,1503960366,489
18:00,2016-04-12,1503960366,1386
19:00,2016-04-12,1503960366,558
20:00,2016-04-12,1503960366,1733
21:00,2016-04-12,1503960366,684
22:00,2016-04-12,1503960366,89
23:00,2016-04-12,1503960366,338
00:00,2016-04-13,1503960366,144
01:00,2016-04-13,1503960366,0
02:00,2016-04-13,1503960366,0
03:00,2016-04-13,1503960366,36
04:00,2016-04-13,1503960366,0
05:00,2016-04-13,1503960366,0
06:00,2016-04-13,1503960366,0
07:00,2016-04-13,1503960366,126
08:00,2016-04-13,1503960366,275
09:00,2016-04-13,1503960366,1679
10:00,2016-04-13,1503960366,295
11:00,2016-04-13,1503960366,524
12:00,2016-04-13,1503960366,486
13:00,2016-04-13,1503960366,302
14:00,2016-04-13,1503960366,1577
15:00,2016-04-13,1503960366,493
16:00,2016-04-13,1503960366,299
17:00,2016-04-13,1503960366,695
18:00,2016-04-13,1503960366,1343
19:00,2016-04-13,1503960366,258
20:00,2016-04-13,1503960366,0
21:00,2016-04-13,1503960366,0
22:00,2016-04-13,1503960366,437
23:00,2016-04-13,1503960366,1766
00:00,2016-04-14,1503960366,81
01:00,2016-04-14,1503960366,58
02:00,2016-04-14,1503960366,0
03:00,2016-04-14,1503960366,0
04:00,2016-04-14,1503960366,0
05:00,2016-04-14,1503960366,0
06:00,2016-04-14,1503960366,0
07:00,2016-04-14,1503960366,0
08:00,2016-04-14,1503960366,0
09:00,2016-04-14,1503960366,902
10:00,2016-04-14,1503960366,1106
11:00,2016-04-14,1503960366,50
12:00,2016-04-14,1503960366,501
13:00,2016-04-14,1503960366,1779
14:00,2016-04-14,1503960366,1228
15:00,2016-04-14,1503960366,139
16:00,2016-04-14,1503960366,408
17:00,2016-04-14,1503960366,37
18:00,2016-04-14,1503960366,322
19:00,2016-04-14,1503960366,11
20:00,2016-04-14,1503960366,806
21:00,2016-04-14,1503960366,2670
22:00,2016-04-14,1503960366,362
23:00,2016-04-14,1503960366,0
00:00,2016-04-15,1503960366,83
01:00,2016-04-15,1503960366,75
02:00,2016-04-15,1503960366,124
03:00,2016-04-15,1503960366,0
04:00,2016-04-15,1503960366,0
05:00,2016-04-15,1503960366,26
06:00,2016-04-15,1503960366,0
07:00,2016-04-15,1503960366,7
08:00,2016-04-15,1503960366,55
09:00,2016-04-15,1503960366,21
10:00,2016-04-15,1503960366,154
11:00,2016-04-15,1503960366,425
12:00,2016-04-15,1503960366,270
13:00,2016-04-15,1503960366,373
14:00,2016-04-15,1503960366,0
15:00,2016-04-15,1503960366,0
16:00,2016-04-15,1503960366,0
17:00,2016-04-15,1503960366,1774
18:00,2016-04-15,1503960366,509
19:00,2016-04-15,1503960366,519
20:00,2016-04-15,1503960366,77
21:00,2016-04-15,1503960366,280
22:00,2016-04-15,1503960366,2145
23:00,2016-04-15,1503960366,2768
00:00,2016-04-16,1503960366,459
01:00,2016-04-16,1503960366,0
02:00,2016-04-16,1503960366,63
03:00,2016-04-16,1503960366,6
04:00,2016-04-16,1503960366,6
05:00,2016-04-16,1503960366,12
06:00,2016-04-16,1503960366,0
07:00,2016-04-16,1503960366,101
08:00,2016-04-16,1503960366,175
09:00,2016-04-16,1503960366,1181
10:00,2016-04-16,1503960366,1295
11:00,2016-04-16,1503960366,2043
12:00,2016-04-16,1503960366,1513
13:00,2016-04-16,1503960366,3616
14:00,2016-04-16,1503960366,580
15:00,2016-04-16,1503960366,0
16:00,2016-04-16,1503960366,15
17:00,2016-04-16,1503960366,380
18:00,2016-04-16,1503960366,96
19:00,2016-04-16,1503960366,146
20:00,2016-04-16,1503960366,385
21:00,2016-04-16,1503960366,463
22:00,2016-04-16,1503960366,42
23:00,2016-04-16,1503960366,92
00:00,2016-04-17,1503960366,0
01:00,2016-04-17,1503960366,0
02:00,2016-04-17,1503960366,0
03:00,2016-04-17,1503960366,8
04:00,2016-04-17,1503960366,0
